track.name,name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Love & Cigarettes (любовь и сигареты),Kedr Livanskiy,0kOvgRRyFIyFcS4ZqypVr3,0.596,0.636,0,-9.915,1,0.0478,0.214,0.903,0.0883,0.212,133.995,audio_features,0kOvgRRyFIyFcS4ZqypVr3,spotify:track:0kOvgRRyFIyFcS4ZqypVr3,https://api.spotify.com/v1/tracks/0kOvgRRyFIyFcS4ZqypVr3,https://api.spotify.com/v1/audio-analysis/0kOvgRRyFIyFcS4ZqypVr3,308737,4
We Were Beautiful,Belle and Sebastian,0Cqrx85Er7cLFcEc7Bx4sM,0.58,0.702,0,-4.808,1,0.0465,0.0885,0.0,0.321,0.503,143.996,audio_features,0Cqrx85Er7cLFcEc7Bx4sM,spotify:track:0Cqrx85Er7cLFcEc7Bx4sM,https://api.spotify.com/v1/tracks/0Cqrx85Er7cLFcEc7Bx4sM,https://api.spotify.com/v1/audio-analysis/0Cqrx85Er7cLFcEc7Bx4sM,264855,4
Belong (feat. Kimbra) - Batuk Remix,Fyfe,3l1cRdikjaqNp9FCKMgtf4,0.76,0.566,10,-12.131,0,0.0569,0.02,0.873,0.091,0.432,126.027,audio_features,3l1cRdikjaqNp9FCKMgtf4,spotify:track:3l1cRdikjaqNp9FCKMgtf4,https://api.spotify.com/v1/tracks/3l1cRdikjaqNp9FCKMgtf4,https://api.spotify.com/v1/audio-analysis/3l1cRdikjaqNp9FCKMgtf4,311684,4
Belong (feat. Kimbra) - Batuk Remix,Kimbra,3l1cRdikjaqNp9FCKMgtf4,0.76,0.566,10,-12.131,0,0.0569,0.02,0.873,0.091,0.432,126.027,audio_features,3l1cRdikjaqNp9FCKMgtf4,spotify:track:3l1cRdikjaqNp9FCKMgtf4,https://api.spotify.com/v1/tracks/3l1cRdikjaqNp9FCKMgtf4,https://api.spotify.com/v1/audio-analysis/3l1cRdikjaqNp9FCKMgtf4,311684,4
Belong (feat. Kimbra) - Batuk Remix,Batuk,3l1cRdikjaqNp9FCKMgtf4,0.76,0.566,10,-12.131,0,0.0569,0.02,0.873,0.091,0.432,126.027,audio_features,3l1cRdikjaqNp9FCKMgtf4,spotify:track:3l1cRdikjaqNp9FCKMgtf4,https://api.spotify.com/v1/tracks/3l1cRdikjaqNp9FCKMgtf4,https://api.spotify.com/v1/audio-analysis/3l1cRdikjaqNp9FCKMgtf4,311684,4
A Simple Love (BMotion Remix),Moby,2KUxMnVjUoX1erUAZ0lSbp,0.432,0.924,11,-5.474,0,0.0371,0.0215,0.293,0.0617,0.128,173.984,audio_features,2KUxMnVjUoX1erUAZ0lSbp,spotify:track:2KUxMnVjUoX1erUAZ0lSbp,https://api.spotify.com/v1/tracks/2KUxMnVjUoX1erUAZ0lSbp,https://api.spotify.com/v1/audio-analysis/2KUxMnVjUoX1erUAZ0lSbp,268966,4
A Simple Love (BMotion Remix),BMotion,2KUxMnVjUoX1erUAZ0lSbp,0.432,0.924,11,-5.474,0,0.0371,0.0215,0.293,0.0617,0.128,173.984,audio_features,2KUxMnVjUoX1erUAZ0lSbp,spotify:track:2KUxMnVjUoX1erUAZ0lSbp,https://api.spotify.com/v1/tracks/2KUxMnVjUoX1erUAZ0lSbp,https://api.spotify.com/v1/audio-analysis/2KUxMnVjUoX1erUAZ0lSbp,268966,4
Wolf Eats Wolf,Tony Allen,0eBUTzrUcR7BAB0iSmewXH,0.577,0.633,8,-12.68,1,0.0831,0.318,0.79,0.129,0.82,104.398,audio_features,0eBUTzrUcR7BAB0iSmewXH,spotify:track:0eBUTzrUcR7BAB0iSmewXH,https://api.spotify.com/v1/tracks/0eBUTzrUcR7BAB0iSmewXH,https://api.spotify.com/v1/audio-analysis/0eBUTzrUcR7BAB0iSmewXH,341453,4
LMK,Kelela,6XgtAeRYmbr4OfEUP3q0D3,0.595,0.61,1,-7.007,0,0.033,0.091,0.0,0.16,0.504,99.529,audio_features,6XgtAeRYmbr4OfEUP3q0D3,spotify:track:6XgtAeRYmbr4OfEUP3q0D3,https://api.spotify.com/v1/tracks/6XgtAeRYmbr4OfEUP3q0D3,https://api.spotify.com/v1/audio-analysis/6XgtAeRYmbr4OfEUP3q0D3,218319,4
Gibbus Gibson,The Fall,0MYvWLQOIxUfz4URF8OSMj,0.423,0.899,9,-5.902,1,0.0809,0.00111,0.000169,0.329,0.688,160.225,audio_features,0MYvWLQOIxUfz4URF8OSMj,spotify:track:0MYvWLQOIxUfz4URF8OSMj,https://api.spotify.com/v1/tracks/0MYvWLQOIxUfz4URF8OSMj,https://api.spotify.com/v1/audio-analysis/0MYvWLQOIxUfz4URF8OSMj,157947,4
Fluorescent Light,Stars,2INLqNpp8gfwni2BHbjkHh,0.557,0.717,0,-4.942,1,0.0302,0.206,0.000188,0.0985,0.558,131.97,audio_features,2INLqNpp8gfwni2BHbjkHh,spotify:track:2INLqNpp8gfwni2BHbjkHh,https://api.spotify.com/v1/tracks/2INLqNpp8gfwni2BHbjkHh,https://api.spotify.com/v1/audio-analysis/2INLqNpp8gfwni2BHbjkHh,228427,4
After Gold,Kelpe,3Nr62FFbrwPRAAmKoLbR7a,0.647,0.526,10,-9.826,0,0.0662,0.317,0.615,0.112,0.0898,106.674,audio_features,3Nr62FFbrwPRAAmKoLbR7a,spotify:track:3Nr62FFbrwPRAAmKoLbR7a,https://api.spotify.com/v1/tracks/3Nr62FFbrwPRAAmKoLbR7a,https://api.spotify.com/v1/audio-analysis/3Nr62FFbrwPRAAmKoLbR7a,390987,4
Last Day,Walter TV,7L0v2SG6JmOM0fxSctsV30,0.5,0.518,1,-12.261,1,0.058,0.721,0.812,0.16,0.709,143.927,audio_features,7L0v2SG6JmOM0fxSctsV30,spotify:track:7L0v2SG6JmOM0fxSctsV30,https://api.spotify.com/v1/tracks/7L0v2SG6JmOM0fxSctsV30,https://api.spotify.com/v1/audio-analysis/7L0v2SG6JmOM0fxSctsV30,237808,4
Impossible Man,The Fresh & Onlys,0WVln5QeAzwd8jDvu8seQY,0.312,0.809,4,-7.118,1,0.0434,0.124,0.000127,0.0959,0.532,164.961,audio_features,0WVln5QeAzwd8jDvu8seQY,spotify:track:0WVln5QeAzwd8jDvu8seQY,https://api.spotify.com/v1/tracks/0WVln5QeAzwd8jDvu8seQY,https://api.spotify.com/v1/audio-analysis/0WVln5QeAzwd8jDvu8seQY,250201,4
Baila Con Paula,Awanto 3,2BT4XzIWmqkpLJ3BCTHtwO,0.916,0.739,10,-6.519,1,0.0391,0.0458,0.848,0.0416,0.915,115.95,audio_features,2BT4XzIWmqkpLJ3BCTHtwO,spotify:track:2BT4XzIWmqkpLJ3BCTHtwO,https://api.spotify.com/v1/tracks/2BT4XzIWmqkpLJ3BCTHtwO,https://api.spotify.com/v1/audio-analysis/2BT4XzIWmqkpLJ3BCTHtwO,339640,4
Baila Con Paula,Jungle by Night,2BT4XzIWmqkpLJ3BCTHtwO,0.916,0.739,10,-6.519,1,0.0391,0.0458,0.848,0.0416,0.915,115.95,audio_features,2BT4XzIWmqkpLJ3BCTHtwO,spotify:track:2BT4XzIWmqkpLJ3BCTHtwO,https://api.spotify.com/v1/tracks/2BT4XzIWmqkpLJ3BCTHtwO,https://api.spotify.com/v1/audio-analysis/2BT4XzIWmqkpLJ3BCTHtwO,339640,4
Golden (feat. Hodgy),Nanna.B,1p8x2pzH5tohAfPVqottcD,0.828,0.616,7,-8.941,1,0.221,0.475,2.3e-06,0.104,0.721,90.968,audio_features,1p8x2pzH5tohAfPVqottcD,spotify:track:1p8x2pzH5tohAfPVqottcD,https://api.spotify.com/v1/tracks/1p8x2pzH5tohAfPVqottcD,https://api.spotify.com/v1/audio-analysis/1p8x2pzH5tohAfPVqottcD,255760,4
Golden (feat. Hodgy),Hodgy,1p8x2pzH5tohAfPVqottcD,0.828,0.616,7,-8.941,1,0.221,0.475,2.3e-06,0.104,0.721,90.968,audio_features,1p8x2pzH5tohAfPVqottcD,spotify:track:1p8x2pzH5tohAfPVqottcD,https://api.spotify.com/v1/tracks/1p8x2pzH5tohAfPVqottcD,https://api.spotify.com/v1/audio-analysis/1p8x2pzH5tohAfPVqottcD,255760,4
Mada Okiteru - Original Mix,T3TSUO 303,4xshgce4xk6zPZw3n2qE4c,0.715,0.986,11,-7.732,0,0.0397,0.0057,0.936,0.0747,0.658,130.003,audio_features,4xshgce4xk6zPZw3n2qE4c,spotify:track:4xshgce4xk6zPZw3n2qE4c,https://api.spotify.com/v1/tracks/4xshgce4xk6zPZw3n2qE4c,https://api.spotify.com/v1/audio-analysis/4xshgce4xk6zPZw3n2qE4c,385842,5
Motion,Boy Harsher,22jY9D7T3vUcusxUOxM5Xs,0.666,0.953,9,-8.308,0,0.0464,0.0074,0.732,0.0956,0.889,118.017,audio_features,22jY9D7T3vUcusxUOxM5Xs,spotify:track:22jY9D7T3vUcusxUOxM5Xs,https://api.spotify.com/v1/tracks/22jY9D7T3vUcusxUOxM5Xs,https://api.spotify.com/v1/audio-analysis/22jY9D7T3vUcusxUOxM5Xs,239832,4
8 Ball,Waxahatchee,1xLEoEATazKWmH4jEX0IyS,0.59,0.767,4,-7.941,1,0.0372,0.271,0.668,0.152,0.762,124.45,audio_features,1xLEoEATazKWmH4jEX0IyS,spotify:track:1xLEoEATazKWmH4jEX0IyS,https://api.spotify.com/v1/tracks/1xLEoEATazKWmH4jEX0IyS,https://api.spotify.com/v1/audio-analysis/1xLEoEATazKWmH4jEX0IyS,169160,4
Georgia Dust,Sun Seeker,6yfAaRpUk4G8DVzE0YKlFM,0.742,0.519,3,-7.093,1,0.0292,0.441,0.0279,0.0917,0.61,113.95,audio_features,6yfAaRpUk4G8DVzE0YKlFM,spotify:track:6yfAaRpUk4G8DVzE0YKlFM,https://api.spotify.com/v1/tracks/6yfAaRpUk4G8DVzE0YKlFM,https://api.spotify.com/v1/audio-analysis/6yfAaRpUk4G8DVzE0YKlFM,203213,4
ICE BOY,Corbin,5YccWnnwEYn87cMkY1EfOJ,0.642,0.416,7,-7.997,0,0.0249,0.316,0.0,0.108,0.162,99.994,audio_features,5YccWnnwEYn87cMkY1EfOJ,spotify:track:5YccWnnwEYn87cMkY1EfOJ,https://api.spotify.com/v1/tracks/5YccWnnwEYn87cMkY1EfOJ,https://api.spotify.com/v1/audio-analysis/5YccWnnwEYn87cMkY1EfOJ,264502,4
The Joke - Bayonne Remix,Flock of Dimes,51BzuUGYPrKP9j1kG64OQ3,0.607,0.886,5,-5.395,1,0.0289,0.583,0.946,0.0894,0.806,140.029,audio_features,51BzuUGYPrKP9j1kG64OQ3,spotify:track:51BzuUGYPrKP9j1kG64OQ3,https://api.spotify.com/v1/tracks/51BzuUGYPrKP9j1kG64OQ3,https://api.spotify.com/v1/audio-analysis/51BzuUGYPrKP9j1kG64OQ3,267111,4
