danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,clusters,track.name,name,song_id,type,id,uri,track_href,analysis_url
0.755,0.553,6,-9.449,0,0.107,0.0492,0.00607,0.0646,0.836,119.7,266600,4,8,if i ever feel better,phoenix,3AA8xNhDC0MpqwkGX3EP5V,audio_features,3AA8xNhDC0MpqwkGX3EP5V,spotify:track:3AA8xNhDC0MpqwkGX3EP5V,https://api.spotify.com/v1/tracks/3AA8xNhDC0MpqwkGX3EP5V,https://api.spotify.com/v1/audio-analysis/3AA8xNhDC0MpqwkGX3EP5V
0.667,0.667,7,-6.267,1,0.0388,0.00013,0.00385,0.0711,0.843,130.321,243213,4,7,dance to the underground,radio 4,2i8lRhmZNKaM1ypHwRybuD,audio_features,2i8lRhmZNKaM1ypHwRybuD,spotify:track:2i8lRhmZNKaM1ypHwRybuD,https://api.spotify.com/v1/tracks/2i8lRhmZNKaM1ypHwRybuD,https://api.spotify.com/v1/audio-analysis/2i8lRhmZNKaM1ypHwRybuD
0.826,0.601,10,-3.966,0,0.0515,0.195,3.24e-06,0.07,0.948,126.971,234000,4,8,how we do,mount sims,4flxgPC0426CEeSrzQIic0,audio_features,4flxgPC0426CEeSrzQIic0,spotify:track:4flxgPC0426CEeSrzQIic0,https://api.spotify.com/v1/tracks/4flxgPC0426CEeSrzQIic0,https://api.spotify.com/v1/audio-analysis/4flxgPC0426CEeSrzQIic0
0.905,0.945,4,-2.63,1,0.137,0.0354,0.00529,0.0707,0.944,131.597,250693,4,7,fuck the pain away,peaches,1XHFob24QklIXtLRopKirJ,audio_features,1XHFob24QklIXtLRopKirJ,spotify:track:1XHFob24QklIXtLRopKirJ,https://api.spotify.com/v1/tracks/1XHFob24QklIXtLRopKirJ,https://api.spotify.com/v1/audio-analysis/1XHFob24QklIXtLRopKirJ
0.797,0.536,11,-8.267,0,0.266,0.0315,2.88e-05,0.17,0.704,102.881,224800,4,2,street surgery 2,zongamin,4JB847zlgViLq8tJIzRsZy,audio_features,4JB847zlgViLq8tJIzRsZy,spotify:track:4JB847zlgViLq8tJIzRsZy,https://api.spotify.com/v1/tracks/4JB847zlgViLq8tJIzRsZy,https://api.spotify.com/v1/audio-analysis/4JB847zlgViLq8tJIzRsZy
0.607,0.734,10,-7.622,1,0.0445,0.0906,0.812,0.0925,0.569,147.941,288307,4,0,emerge,fischerspooner,3vyKSb9sAdXl0kQ1KnS9fY,audio_features,3vyKSb9sAdXl0kQ1KnS9fY,spotify:track:3vyKSb9sAdXl0kQ1KnS9fY,https://api.spotify.com/v1/tracks/3vyKSb9sAdXl0kQ1KnS9fY,https://api.spotify.com/v1/audio-analysis/3vyKSb9sAdXl0kQ1KnS9fY
0.653,0.818,5,-8.125,1,0.047,0.00907,0.23,0.0703,0.198,174.984,266347,4,1,such great heights,the postal service,3iDK8BAaBUatPR84gdfa9g,audio_features,3iDK8BAaBUatPR84gdfa9g,spotify:track:3iDK8BAaBUatPR84gdfa9g,https://api.spotify.com/v1/tracks/3iDK8BAaBUatPR84gdfa9g,https://api.spotify.com/v1/audio-analysis/3iDK8BAaBUatPR84gdfa9g
0.621,0.775,0,-7.662,1,0.0513,0.129,0.0106,0.115,0.216,153.963,284293,4,4,the district sleeps alone tonight,the postal service,5Bf5C7RkyXTqE1h3Q8KZJ7,audio_features,5Bf5C7RkyXTqE1h3Q8KZJ7,spotify:track:5Bf5C7RkyXTqE1h3Q8KZJ7,https://api.spotify.com/v1/tracks/5Bf5C7RkyXTqE1h3Q8KZJ7,https://api.spotify.com/v1/audio-analysis/5Bf5C7RkyXTqE1h3Q8KZJ7
0.715,0.635,0,-6.345,1,0.0384,0.234,0.000542,0.157,0.679,128.997,261253,4,7,sleepin in,the postal service,0LEsGGRUrZZhLPFoxeioHr,audio_features,0LEsGGRUrZZhLPFoxeioHr,spotify:track:0LEsGGRUrZZhLPFoxeioHr,https://api.spotify.com/v1/tracks/0LEsGGRUrZZhLPFoxeioHr,https://api.spotify.com/v1/audio-analysis/0LEsGGRUrZZhLPFoxeioHr
0.66,0.698,11,-4.722,0,0.0302,1.92e-05,0.166,0.0517,0.511,123.005,214600,4,8,danger! high voltage - soulchild radio mix,electric six,6LtIW2Y5NbZnMlUJbiviQ6,audio_features,6LtIW2Y5NbZnMlUJbiviQ6,spotify:track:6LtIW2Y5NbZnMlUJbiviQ6,https://api.spotify.com/v1/tracks/6LtIW2Y5NbZnMlUJbiviQ6,https://api.spotify.com/v1/audio-analysis/6LtIW2Y5NbZnMlUJbiviQ6
0.4,0.975,7,-5.237,1,0.0987,0.000114,0.000624,0.152,0.32,171.963,140907,4,1,gay bar,electric six,6s9iK4Hf5nLhdDMCnkDV3T,audio_features,6s9iK4Hf5nLhdDMCnkDV3T,spotify:track:6s9iK4Hf5nLhdDMCnkDV3T,https://api.spotify.com/v1/tracks/6s9iK4Hf5nLhdDMCnkDV3T,https://api.spotify.com/v1/audio-analysis/6s9iK4Hf5nLhdDMCnkDV3T
0.733,0.848,5,-6.489,0,0.0597,0.00112,0.00142,0.0882,0.658,124.066,210800,4,8,we don't care,audio bullys,5rDFRvwao7MFzuhrBTkWMQ,audio_features,5rDFRvwao7MFzuhrBTkWMQ,spotify:track:5rDFRvwao7MFzuhrBTkWMQ,https://api.spotify.com/v1/tracks/5rDFRvwao7MFzuhrBTkWMQ,https://api.spotify.com/v1/audio-analysis/5rDFRvwao7MFzuhrBTkWMQ
0.571,0.968,5,-3.092,1,0.162,0.0649,3.07e-06,0.592,0.313,154.07,282307,4,3,good luck,basement jaxx,76qqmbeHyPhP2SjrO4jBZS,audio_features,76qqmbeHyPhP2SjrO4jBZS,spotify:track:76qqmbeHyPhP2SjrO4jBZS,https://api.spotify.com/v1/tracks/76qqmbeHyPhP2SjrO4jBZS,https://api.spotify.com/v1/audio-analysis/76qqmbeHyPhP2SjrO4jBZS
0.571,0.968,5,-3.092,1,0.162,0.0649,3.07e-06,0.592,0.313,154.07,282307,4,3,good luck,lisa kekaula,76qqmbeHyPhP2SjrO4jBZS,audio_features,76qqmbeHyPhP2SjrO4jBZS,spotify:track:76qqmbeHyPhP2SjrO4jBZS,https://api.spotify.com/v1/tracks/76qqmbeHyPhP2SjrO4jBZS,https://api.spotify.com/v1/audio-analysis/76qqmbeHyPhP2SjrO4jBZS
0.578,0.585,9,-8.223,1,0.0273,0.000402,0.904,0.667,0.674,104.142,336333,4,3,dirge,death in vegas,0OHxQIHykIU7RqLOPjBZOD,audio_features,0OHxQIHykIU7RqLOPjBZOD,spotify:track:0OHxQIHykIU7RqLOPjBZOD,https://api.spotify.com/v1/tracks/0OHxQIHykIU7RqLOPjBZOD,https://api.spotify.com/v1/audio-analysis/0OHxQIHykIU7RqLOPjBZOD
0.403,0.746,7,-8.35,1,0.0369,9.85e-05,0.891,0.594,0.0929,131.045,269160,4,3,girls,death in vegas,6aVLqYFupVcWLJ7PyJqSUs,audio_features,6aVLqYFupVcWLJ7PyJqSUs,spotify:track:6aVLqYFupVcWLJ7PyJqSUs,https://api.spotify.com/v1/tracks/6aVLqYFupVcWLJ7PyJqSUs,https://api.spotify.com/v1/audio-analysis/6aVLqYFupVcWLJ7PyJqSUs
0.238,0.919,0,-6.893,1,0.0816,0.0257,2.31e-05,0.0914,0.123,101.752,214373,4,4,club foot,kasabian,6C0xucNj75wRdlejwWIEW1,audio_features,6C0xucNj75wRdlejwWIEW1,spotify:track:6C0xucNj75wRdlejwWIEW1,https://api.spotify.com/v1/tracks/6C0xucNj75wRdlejwWIEW1,https://api.spotify.com/v1/audio-analysis/6C0xucNj75wRdlejwWIEW1
0.431,0.96,5,-4.784,1,0.0687,0.00845,0.85,0.478,0.503,150.08,191133,4,1,huddle formation,the go! team,2Y1LUIIyRhtWEMag2A9vXR,audio_features,2Y1LUIIyRhtWEMag2A9vXR,spotify:track:2Y1LUIIyRhtWEMag2A9vXR,https://api.spotify.com/v1/tracks/2Y1LUIIyRhtWEMag2A9vXR,https://api.spotify.com/v1/audio-analysis/2Y1LUIIyRhtWEMag2A9vXR
0.558,0.723,0,-11.214,0,0.0312,0.00405,0.501,0.0863,0.526,102.833,454480,4,0,la ritournelle,sébastien tellier,0qG1teoBvooRo7Z5Z8edCk,audio_features,0qG1teoBvooRo7Z5Z8edCk,spotify:track:0qG1teoBvooRo7Z5Z8edCk,https://api.spotify.com/v1/tracks/0qG1teoBvooRo7Z5Z8edCk,https://api.spotify.com/v1/audio-analysis/0qG1teoBvooRo7Z5Z8edCk
0.436,0.76,1,-7.906,0,0.0374,0.362,0.955,0.13,0.504,75.012,219760,4,6,cherry blossom girl,air,4m8ttWM8IKXyhpv89E867J,audio_features,4m8ttWM8IKXyhpv89E867J,spotify:track:4m8ttWM8IKXyhpv89E867J,https://api.spotify.com/v1/tracks/4m8ttWM8IKXyhpv89E867J,https://api.spotify.com/v1/audio-analysis/4m8ttWM8IKXyhpv89E867J
0.63,0.782,4,-5.505,1,0.0443,0.475,1.61e-06,0.346,0.438,139.972,185947,4,7,day job,the fitness,76ZshabxTR4myE9001kHQi,audio_features,76ZshabxTR4myE9001kHQi,spotify:track:76ZshabxTR4myE9001kHQi,https://api.spotify.com/v1/tracks/76ZshabxTR4myE9001kHQi,https://api.spotify.com/v1/audio-analysis/76ZshabxTR4myE9001kHQi
0.474,0.949,11,-3.899,1,0.0721,0.00894,1.45e-06,0.0737,0.772,180.007,170467,4,1,meantime,the futureheads,5ubzPeRkwUlJ9VjH1NVXeJ,audio_features,5ubzPeRkwUlJ9VjH1NVXeJ,spotify:track:5ubzPeRkwUlJ9VjH1NVXeJ,https://api.spotify.com/v1/tracks/5ubzPeRkwUlJ9VjH1NVXeJ,https://api.spotify.com/v1/audio-analysis/5ubzPeRkwUlJ9VjH1NVXeJ
0.36,0.895,9,-3.795,1,0.117,0.0329,1.18e-06,0.06,0.424,168.214,182680,4,1,hounds of love,the futureheads,7mAF2MJdbNT75VrVcgwT6F,audio_features,7mAF2MJdbNT75VrVcgwT6F,spotify:track:7mAF2MJdbNT75VrVcgwT6F,https://api.spotify.com/v1/tracks/7mAF2MJdbNT75VrVcgwT6F,https://api.spotify.com/v1/audio-analysis/7mAF2MJdbNT75VrVcgwT6F
